RSGCSN
27306
26223
27235
27588
28883
28039
29479
28645
27475
28583
27620
30294
27571
25748
27911
28112
29096
28576
30067
28470
28022
28532
28081
31132
27889
26175
29261
28529
29402
29721
30344
29792
29102
29079
29077
32152
28629
26762
29708
29086
30388
30229
30654
30434
29378
29068
29619
32454
29172
28191
30245
29344
31364
30470
31377
31747
29495
30674
31014
32454
30534
27985
31513
29853
32412
30527
32232
32032
30142
31319
31032
32989
30679
27947
30501
30826
32456
31215
33067
32220
31005
32214
31377
34681
31516
29413
32451
31948
33727
32568
34568
32944
32624
32935
32510
37046
31336
30515
33216
33004
34085
33880
34517
34225
33324
33190
33969
37254
33236
31488
34856
33685
36068
35215
35418
35919
34379
34847
35308
37708
34533
32024
35863
33190
36478
34933
35885
36025
33610
34885
35649
36738
35384
32440
35265
34854
37057
35212
37108
36644
34697
35870
35786
37670
36475
33701
35892
35876
37733
36362
38170
36607
36360
37004
36876
40080
37176
34286
38210
36908
38742
38219
39289
38627
37844
38251
38354
41761
37489
35506
38827
38269
40341
39569
40357
40340
38766
39322
39989
42924
39649
37150
40815
39244
42207
41279
41619
41896
40191
40924
41910
44476
41868
39921
42598
40978
44564
42320
44084
44036
41402
42824
42758
44035
42946
38538
41334
41804
44063
42185
43873
43030
41570
43048
42529
45410
43003
40072
43455
42263
44631
42914
44594
43499
42700
43602
43781
46719
44337
41298
45152
45682
46436
45996
47289
46555
44960
45790
46087
48866
45499
44228
47502
45851
48540
47364
47646
48266
46284
47253
47592
49690
47473
44284
49400
45780
50066
48247
49307
49849
46881
48600
49132
50510
49104
44996
48763
48382
51324
48951
50816
50713
48275
50417
50338
52333
50920
